MW or Mn (g/mol),Organic Content on Adsorbent Basis (%),N Content on Adsorbent Basis (mmol/g),Amine 2 or Additive 2  to Amine 1 Ratio,OH to N ratio,BET Surface Area of Solid Support (m2g-1),Pore Volume of Solid Support (cm3g-1),Average Pore Diameters (nm),CO2 Concentration (vol%),Flow Rate (mL/min),Adsorption Time (min),Adsorption Temperature (℃),CO2 Capacity (mmol/g),1° Amine,2° Amine,Amine_Density (g/cm³),Amine_Viscosity (mPa·s),Support_Morphology_Cubic,Support_Morphology_Foam-like,Support_Morphology_Hollow Spheres,Support_Morphology_Irregular,Support_Morphology_Mesoporous Carbon,Support_Morphology_Monolith,Support_Morphology_Nanoparticles,Support_Morphology_Octahedral,Support_Morphology_Spherical,Support_Morphology_Spherical Carbon,Support_Morphology_Tubular Hollow,Amine_structure_Linear
537,37.8,8.95,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,30,2.34,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,51.36,14.25,0.0,0.0,3340.0,2.2,2.63,0.04,90.0,50.0,25,1.35,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,1,0,0,0,0
10000,50.0,11.33,0.0,0.0,756.0,1.95,10.3,100.0,30.0,180.0,100,2.34,0.32275132275132273,0.4126984126984127,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
600,50.0,12.5,0.0,0.0,3492.0,2.2,2.52,0.04,90.0,750.0,25,1.81,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,1,0,0,0,0
305,33.36,7.52,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,80,2.47,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,50.0,11.67,0.0,0.0,643.0,1.14,7.12,0.04,100.0,350.0,65,1.01,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
10000,60.0,13.59,0.0,0.0,240.0,1.1,18.4,100.0,30.0,180.0,75,2.72,0.32275132275132273,0.4126984126984127,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
305,21.9,5.28,0.0,0.0,1952.0,1.8,3.79,15.0,50.0,60.0,50,0.82,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
189,50.0,13.23,0.0,0.0,643.0,1.14,7.12,0.04,100.0,350.0,55,2.05,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
423,50.0,10.64,0.0,0.0,950.0,1.31,8.01,100.0,100.0,50.0,90,2.6,0.0,1.0,1.02,150.0,0,0,0,0,0,0,0,0,0,0,0,1
103,43.29,11.64,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,40,1.0,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
537,37.76,8.44,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,30,1.36,0.39887640449438205,0.3202247191011236,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
232,83.14,21.5,0.0,0.0,1410.0,8.41,67.1,100.0,50.0,180.0,50,3.1,0.3333333333333333,0.6666666666666666,0.97,18.0,0,0,0,0,0,0,0,0,0,1,0,1
2372,35.0,5.75,0.0,0.0,608.0,2.03,28.4,10.0,90.0,180.0,25,1.38,0.9090909090909091,0.09090909090909091,1.1,120.0,0,1,0,0,0,0,0,0,0,0,0,0
537,54.3,12.9,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,120,2.93,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
103,49.49,13.39,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,80,0.72,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
600,80.0,18.67,0.0,0.0,729.0,0.94,8.1,0.04,60.0,300.0,35,0.15,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,69.6,2.84,4.08,0.39,880.0,1.13,5.14,0.04,90.0,800.0,30,0.3,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
