MW or Mn (g/mol),Organic Content on Adsorbent Basis (%),N Content on Adsorbent Basis (mmol/g),Amine 2 or Additive 2  to Amine 1 Ratio,OH to N ratio,BET Surface Area of Solid Support (m2g-1),Pore Volume of Solid Support (cm3g-1),Average Pore Diameters (nm),CO2 Concentration (vol%),Flow Rate (mL/min),Adsorption Time (min),Adsorption Temperature (℃),CO2 Capacity (mmol/g),1° Amine,2° Amine,Amine_Density (g/cm³),Amine_Viscosity (mPa·s),Support_Morphology_Cubic,Support_Morphology_Foam-like,Support_Morphology_Hollow Spheres,Support_Morphology_Irregular,Support_Morphology_Mesoporous Carbon,Support_Morphology_Monolith,Support_Morphology_Nanoparticles,Support_Morphology_Octahedral,Support_Morphology_Spherical,Support_Morphology_Spherical Carbon,Support_Morphology_Tubular Hollow,Amine_structure_Linear
189,60.0,12.7,0.0,0.0,854.0,1.98,8.4,100.0,80.0,60.0,95,4.98,0.5,0.5,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
146,50.0,13.68,0.0,0.0,1650.0,0.92,1.82,0.04,300.0,180.0,25,0.83,0.5,0.5,0.95,22.0,1,0,0,0,0,0,0,0,0,0,0,1
2372,35.0,5.75,0.0,0.0,608.0,2.03,28.4,10.0,90.0,180.0,120,1.14,0.9090909090909091,0.09090909090909091,1.1,120.0,0,1,0,0,0,0,0,0,0,0,0,0
10000,50.4,11.8,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,90,3.22,0.38663484486873506,0.37470167064439136,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
350,48.6,11.7,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,90,3.79,0.4552058111380145,0.3026634382566586,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
331,48.92,10.34,0.0,0.0,452.0,0.54,4.75,100.0,80.0,60.0,45,1.02,0.2857142857142857,0.7142857142857143,0.98,18.0,0,1,0,0,0,0,0,0,0,0,0,1
189,85.0,14.09,0.89,0.54,272.0,1.54,28.0,100.0,70.0,100.0,40,3.85,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
305,21.9,5.28,0.0,0.0,1245.0,1.02,3.63,15.0,50.0,60.0,70,0.27,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
146,23.08,6.32,0.0,0.0,1336.0,0.68,1.35,10.0,50.0,600.0,75,0.57,0.5,0.5,0.95,22.0,0,0,0,1,0,0,0,0,0,0,0,1
600,41.99,9.78,0.0,0.0,447.0,4.52,40.45,0.04,100.0,900.0,30,1.17,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
189,50.0,13.23,0.0,0.0,643.0,1.14,7.12,0.04,100.0,350.0,75,0.33,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
232,79.59,20.4,0.0,0.0,871.0,3.0,18.4,100.0,50.0,180.0,25,1.33,0.3333333333333333,0.6666666666666666,0.97,18.0,0,0,0,0,1,0,0,0,0,0,0,1
189,19.49,5.16,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,30,0.8,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
600,30.07,6.86,0.0,0.0,231.0,1.06,16.9,0.04,90.0,800.0,30,1.16,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
462,60.0,16.9,0.0,7.69,733.0,0.89,7.01,0.04,300.0,180.0,25,1.14,0.0,1.0,1.02,150.0,0,0,0,0,0,0,0,0,0,0,0,1
1020,49.4,11.7,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,60,2.13,0.403954802259887,0.3135593220338983,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,29.58,7.75,0.0,0.0,330.0,1.4,16.6,100.0,60.0,60.0,60,2.29,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,44.44,5.34,0.67,0.33,231.0,1.06,16.9,0.04,90.0,800.0,30,1.17,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
189,70.0,11.95,0.75,0.16,272.0,1.5,27.8,100.0,70.0,120.0,80,3.43,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
103,18.8,5.25,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,100,0.45,0.6666666666666666,0.3333333333333333,0.95,20.0,1,0,0,0,0,0,0,0,0,0,0,1
350,42.86,10.4,0.0,0.0,817.0,1.1,5.71,10.0,50.0,600.0,75,1.3,0.4552058111380145,0.3026634382566586,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
600,50.0,11.67,0.0,0.0,756.0,1.95,10.3,100.0,30.0,180.0,75,3.5,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
305,44.12,10.18,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,60,2.75,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
537,17.2,3.99,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,105,0.83,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,70.0,15.16,0.0,0.0,272.0,1.5,27.8,100.0,70.0,120.0,40,4.17,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
103,36.93,9.93,0.0,0.0,1005.0,1.13,3.18,100.0,60.0,30.0,100,1.39,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
537,37.8,8.95,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,90,3.04,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,29.58,7.75,0.0,0.0,330.0,1.4,16.6,100.0,60.0,60.0,90,2.25,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,50.0,11.67,0.0,0.0,643.0,1.14,7.12,0.04,100.0,350.0,-5,1.15,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
537,19.82,4.43,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,25,0.51,0.39887640449438205,0.3202247191011236,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,67.19,12.51,0.25,0.0,576.0,0.73,3.2,100.0,50.0,30.0,25,3.94,0.4,0.6,0.98,15.0,0,0,0,0,0,1,0,0,0,0,0,1
561,50.0,6.44,0.0,0.3,562.0,2.31,22.0,100.0,100.0,60.0,75,1.61,0.16778523489932887,0.39093959731543626,1.03,110.0,0,1,0,0,0,0,0,0,0,0,0,1
600,50.0,11.67,0.0,0.0,525.0,1.17,8.9,100.0,30.0,180.0,75,2.61,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
600,29.11,20.79,0.0,0.0,907.55,1.34,6.54,100.0,60.0,60.0,30,2.69,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
305,40.8,9.85,0.0,0.0,1525.0,1.92,5.3,15.0,50.0,60.0,30,0.39,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
600,50.0,11.67,0.0,0.0,720.0,1.17,9.5,100.0,30.0,180.0,75,3.32,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
305,40.8,9.85,0.0,0.0,1952.0,1.8,3.79,15.0,50.0,60.0,30,1.41,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
537,28.48,6.36,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,30,0.98,0.39887640449438205,0.3202247191011236,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,60.0,12.7,0.0,0.0,854.0,1.98,8.4,100.0,80.0,60.0,75,5.17,0.5,0.5,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
537,45.3,10.7,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,45,2.02,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,37.2,8.66,0.0,0.0,234.0,1.17,17.3,10.0,100.0,900.0,25,1.73,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
537,54.3,12.9,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,75,2.53,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,70.0,11.95,0.75,0.16,272.0,1.5,27.8,100.0,70.0,120.0,20,4.66,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
189,49.65,13.13,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,25,2.57,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
305,32.5,7.84,0.0,0.0,1525.0,1.92,5.3,15.0,50.0,60.0,30,0.27,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
600,70.0,16.33,0.0,0.0,237.0,1.38,23.3,100.0,30.0,180.0,75,3.54,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
537,45.3,10.7,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,90,3.54,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,41.08,12.24,0.84,0.0,981.0,1.9,3.3,100.0,50.0,30.0,75,2.17,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
189,50.0,8.84,1.0,0.53,935.0,1.45,6.2,0.04,100.0,300.0,25,1.68,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
600,47.01,12.31,0.0,0.0,330.0,1.4,16.6,100.0,60.0,60.0,60,2.8,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,50.0,7.16,2.0,0.91,992.0,1.13,4.56,0.04,100.0,120.0,25,1.22,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
350,49.21,11.05,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,35,1.91,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
15000,50.0,8.77,0.0,0.0,950.0,1.31,8.01,100.0,100.0,50.0,30,0.13,1.0,0.0,1.08,100.0,0,0,0,0,0,0,0,0,0,0,0,1
189,35.0,6.88,0.17,0.0,479.0,2.0,22.5,100.0,50.0,80.0,40,2.2,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
189,70.0,11.95,0.75,0.16,272.0,1.5,27.8,100.0,70.0,120.0,60,5.33,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
189,50.0,9.06,4.0,0.0,992.0,1.08,4.35,0.04,100.0,180.0,25,1.54,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
600,45.0,10.5,0.0,0.0,597.0,1.42,58.0,100.0,60.0,60.0,25,3.72,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
146,40.0,10.94,0.0,0.0,733.0,0.89,7.01,0.04,300.0,180.0,25,1.5,0.5,0.5,0.95,22.0,0,0,0,0,0,0,0,0,0,0,0,1
189,60.0,15.85,0.0,0.0,1380.0,0.65,2.1,0.04,300.0,180.0,25,0.77,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
305,43.67,10.27,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,80,1.69,0.418013856812933,0.3510392609699769,1.03,200.0,1,0,0,0,0,0,0,0,0,0,0,0
600,50.0,11.67,0.0,0.0,750.0,0.98,10.0,100.0,60.0,60.0,75,0.34,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
600,50.0,11.67,0.0,0.0,253.0,1.24,19.6,100.0,30.0,180.0,75,2.84,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
2372,44.0,7.43,0.0,0.0,608.0,2.03,28.4,10.0,90.0,180.0,25,1.04,0.9090909090909091,0.09090909090909091,1.1,120.0,0,1,0,0,0,0,0,0,0,0,0,0
600,47.79,12.54,0.0,0.0,463.59,1.46,14.86,100.0,60.0,60.0,30,4.17,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
600,25.0,5.83,0.0,0.0,643.0,1.14,7.12,0.04,100.0,350.0,25,0.72,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
305,44.12,10.14,0.0,0.0,483.0,1.36,9.04,100.0,60.0,30.0,100,3.64,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,60.0,17.96,0.0,0.0,981.0,1.9,3.3,100.0,50.0,30.0,25,3.44,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
305,44.12,10.1,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,80,3.33,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
103,43.29,11.55,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,20,1.15,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
103,9.79,2.75,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,120,0.19,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
232,81.0,20.7,0.0,0.0,1410.0,8.41,67.1,100.0,50.0,180.0,50,3.27,0.3333333333333333,0.6666666666666666,0.97,18.0,0,0,0,0,0,0,0,0,0,1,0,1
600,70.0,16.33,0.0,0.0,756.0,1.95,10.3,100.0,30.0,180.0,100,4.72,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
10000,50.4,11.8,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,30,1.28,0.38663484486873506,0.37470167064439136,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
10000,60.0,14.0,0.0,0.0,968.0,0.87,3.6,100.0,30.0,180.0,75,2.63,0.32275132275132273,0.4126984126984127,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
305,18.62,4.38,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,80,0.37,0.418013856812933,0.3510392609699769,1.03,200.0,1,0,0,0,0,0,0,0,0,0,0,0
600,31.03,4.63,1.77,0.0,880.0,1.13,5.14,0.04,90.0,800.0,30,0.31,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
1020,49.4,11.7,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,105,3.31,0.403954802259887,0.3135593220338983,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,60.0,15.85,0.0,0.0,733.0,0.89,7.01,0.04,300.0,180.0,25,2.17,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
600,50.0,11.67,0.0,0.0,968.0,0.87,3.6,100.0,30.0,180.0,75,2.63,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
350,19.37,2.77,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,25,0.57,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,47.79,12.54,0.0,0.0,463.59,1.46,14.86,100.0,60.0,60.0,120,2.49,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
305,32.5,7.84,0.0,0.0,1245.0,1.02,3.63,15.0,50.0,60.0,30,0.68,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
146,9.09,2.49,0.0,0.0,1336.0,0.68,1.35,10.0,50.0,600.0,75,0.2,0.5,0.5,0.95,22.0,0,0,0,1,0,0,0,0,0,0,0,1
600,50.0,11.67,0.0,0.0,729.0,0.94,8.1,0.04,60.0,300.0,35,1.2,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
2200,35.0,6.17,0.0,0.0,608.0,2.03,28.4,10.0,90.0,180.0,25,1.42,1.0,0.0,1.08,100.0,0,1,0,0,0,0,0,0,0,0,0,1
462,40.0,11.26,0.0,7.69,1380.0,0.65,2.1,0.04,300.0,180.0,25,0.31,0.0,1.0,1.02,150.0,0,0,0,0,0,0,0,0,0,0,0,1
10000,50.0,11.33,0.0,0.0,240.0,1.1,18.4,100.0,30.0,180.0,75,2.7,0.32275132275132273,0.4126984126984127,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
600,50.0,11.67,0.0,0.0,597.0,1.42,58.0,15.0,60.0,60.0,75,2.95,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
600,30.29,8.02,0.0,0.0,255.02,0.86,11.71,100.0,60.0,60.0,30,1.4,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
305,10.0,2.35,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,20,0.66,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
350,39.59,5.66,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,25,1.53,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
305,34.22,7.98,0.0,0.0,1005.0,1.13,3.18,100.0,60.0,30.0,40,0.5,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
537,54.3,12.9,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,105,3.56,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,70.0,12.2,0.75,0.47,272.0,1.54,28.0,100.0,70.0,100.0,40,5.26,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
305,40.8,9.85,0.0,0.0,1245.0,1.02,3.63,15.0,50.0,60.0,30,1.11,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
600,31.6,9.11,0.0,0.0,3340.0,2.2,2.63,0.04,90.0,50.0,25,0.25,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,1,0,0,0,0
305,21.9,5.28,0.0,0.0,1527.0,2.77,10.5,15.0,50.0,60.0,70,0.2,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
600,29.58,7.75,0.0,0.0,330.0,1.4,16.6,100.0,60.0,60.0,120,1.53,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,47.79,12.54,0.0,0.0,463.59,1.46,14.86,100.0,60.0,60.0,90,3.8,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
600,29.13,7.64,0.0,0.0,1224.86,1.09,6.46,100.0,60.0,60.0,90,1.84,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
305,38.49,8.61,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,20,1.44,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
146,70.0,19.15,0.0,0.0,1380.0,0.65,2.1,0.04,300.0,180.0,25,0.46,0.5,0.5,0.95,22.0,0,0,0,0,0,0,0,0,0,0,0,1
189,50.0,10.58,0.0,0.0,854.0,1.98,8.4,100.0,80.0,60.0,75,4.12,0.5,0.5,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
2372,35.0,5.75,0.0,0.0,608.0,2.03,28.4,10.0,90.0,180.0,140,1.01,0.9090909090909091,0.09090909090909091,1.1,120.0,0,1,0,0,0,0,0,0,0,0,0,0
600,42.2,5.94,0.4,0.2,201.0,0.45,9.2,0.04,90.0,800.0,30,0.89,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
305,44.12,10.14,0.0,0.0,483.0,1.36,9.04,100.0,60.0,30.0,80,3.31,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,50.0,11.35,0.25,0.17,935.0,1.45,6.2,0.04,100.0,300.0,25,1.93,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
537,17.2,3.99,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,75,1.1,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
103,47.1,12.49,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,80,0.68,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
350,48.6,11.7,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,120,2.99,0.4552058111380145,0.3026634382566586,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,39.9,9.23,0.0,0.0,841.0,1.08,6.8,0.04,100.0,900.0,25,1.05,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
1020,49.4,11.7,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,75,2.76,0.403954802259887,0.3135593220338983,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,72.23,16.69,0.0,0.0,447.0,4.52,40.45,10.0,100.0,900.0,60,3.47,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
305,19.51,4.29,0.0,0.0,1005.0,1.13,3.18,100.0,60.0,30.0,40,0.95,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
103,45.17,12.34,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,120,0.08,0.6666666666666666,0.3333333333333333,0.95,20.0,1,0,0,0,0,0,0,0,0,0,0,1
305,40.8,9.85,0.0,0.0,1952.0,1.8,3.79,15.0,50.0,60.0,70,1.1,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
600,48.2,11.9,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,105,3.9,0.4463414634146342,0.30975609756097566,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
593,50.0,5.09,0.0,0.7,562.0,2.31,22.0,100.0,100.0,60.0,75,0.3,0.024015369836695485,0.25456292026897215,1.03,110.0,0,1,0,0,0,0,0,0,0,0,0,1
189,70.0,18.49,0.0,0.0,1650.0,0.92,1.82,0.04,300.0,180.0,25,0.41,0.4,0.6,0.98,15.0,1,0,0,0,0,0,0,0,0,0,0,1
305,35.23,8.24,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,40,0.87,0.418013856812933,0.3510392609699769,1.03,200.0,1,0,0,0,0,0,0,0,0,0,0,0
189,70.0,11.03,1.33,0.17,272.0,1.5,27.8,100.0,70.0,120.0,40,5.32,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
103,50.0,14.54,0.0,0.0,733.0,0.89,7.01,0.04,300.0,180.0,25,0.5,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
577,50.0,5.44,0.0,0.5,562.0,2.31,22.0,100.0,100.0,60.0,75,0.83,0.07898894154818326,0.40916271721958924,1.03,110.0,0,1,0,0,0,0,0,0,0,0,0,1
305,34.22,7.98,0.0,0.0,1005.0,1.13,3.18,100.0,60.0,30.0,120,1.59,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,72.8,19.21,0.64,0.46,272.0,1.54,28.0,100.0,70.0,100.0,50,6.93,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
232,66.67,17.1,0.0,0.0,871.0,3.0,18.4,10.0,50.0,180.0,50,1.82,0.3333333333333333,0.6666666666666666,0.97,18.0,0,0,0,0,1,0,0,0,0,0,0,1
103,9.79,2.71,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,80,0.45,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
305,44.1,10.11,0.0,0.0,1005.0,1.13,3.18,100.0,60.0,30.0,120,2.22,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,37.5,5.7,0.32,0.0,880.0,1.13,5.14,0.04,90.0,800.0,30,0.55,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
537,29.9,7.0,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,60,2.45,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,49.65,13.13,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,35,2.76,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
103,19.69,5.22,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,60,0.83,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
1020,20.36,4.57,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,25,0.51,0.37921348314606745,0.3398876404494382,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
103,47.1,12.69,0.0,0.0,483.0,1.36,9.04,100.0,60.0,30.0,60,0.74,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
189,56.93,18.32,0.19,0.0,981.0,1.9,3.3,100.0,50.0,30.0,25,4.03,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
600,9.75,3.01,0.0,0.0,3340.0,2.2,2.63,0.04,90.0,50.0,25,0.08,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,1,0,0,0,0
189,52.08,15.52,0.42,0.0,981.0,1.9,3.3,100.0,50.0,30.0,25,3.91,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
305,43.67,10.27,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,40,1.01,0.418013856812933,0.3510392609699769,1.03,200.0,1,0,0,0,0,0,0,0,0,0,0,0
600,50.0,9.93,0.25,0.19,992.0,1.13,4.56,0.04,100.0,120.0,25,1.29,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,30.0,7.92,0.0,0.0,3492.0,2.2,2.52,0.04,50.0,750.0,-20,0.95,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,1,0,0,0,1
305,19.77,4.36,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,120,0.5,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
537,17.2,3.99,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,30,1.15,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
